Photovoltaik [MWh] Originalaufl”sungen;key
0;1
0;2
0;3
0;4
0;5
0;6
0;7
0;8
0;9
0;10
0;11
0;12
0;13
0;14
0;15
0;16
;17
0;18
0;19
0;20
0;21
0;22
0;23
0;24
0;25
0;26
0;27
0;28
0;29
0;30
0;31
0;32
3,5;33
13,25;34
41;35
90,25;36
145;37
201,5;38
261,75;39
333,5;40
412,75;41
495;42
581,75;43
658,75;44
722,25;45
782;46
831,5;47
870;48
;49
876,75;50
876,5;51
868,75;52
Peter;53
819,25;54
771,25;55
696;56
618;57
527,75;58
432;59
336;60
242,75;61
155,75;62
81,5;63
31,75;64
8,5;65
1;66
0,25;67
0;68
0;69
0;70
0;71
Hans;72
0;73
0;74
0;75
0;76
0;77
0;78
0;79
0;80
0;81
0;82
0;83
0;84
0;85
0;86
0;87
0;88
0;89
0;90
0;91
0;92
0;93
0;94
0;95
0;96
0;97
0;98
0;99
0;100
0;101
0;102
0;103
0;104
0;105
0;106
0;107
0;108
0;109
0;110
0;111
0;112
0;113
0;114
0;115
0;116
0;117
0;118
0;119
0;120
0;121
0;122
0;123
0;124
0;125
0;126
0;127
0,25;128
3;129
16,5;130
54,25;131
148,25;132
257,75;133
361;134
458,5;135
539,25;136
NaN;137
687,5;138
780,5;139
862,75;140
930,75;141
1.033,25;142
1.095;143
1.157,25;144
1.196,75;145
1.191,75;146
1.209;147
1.192,25;148
;149
1.076,25;150
1.005,50;151
902,25;152
797;153
690,5;154
583,5;155
460;156
340;157
219,75;158
117,25;159
44,5;160
10,75;161
1,25;162
0;163
0;164
0;165
0;166
0;167
0;168
0;169
0;170
0;171
0;172
0;173
0;174
0;175
0;176
0;177
;178
0;179
0;180
0;181
0;182
0;183
0;184
0;185
0;186
0;187
0;188
0;189
0;190
0;191
0;192
0;193
0;194
0;195
0;196
0;197
0;198
0;199
;200
0;201
0;202
0;203
0;204
0;205
0;206
0;207
;208
0;209
0;210
0;211
0;212
0;213
0;214
0;215
0;216
0;217
0;218
0;219
0;220
0;221
0;222
0;223
0;224
2,75;225
11,5;226
31,25;227
86,5;228
NaN;229
255,5;230
336,75;231
415,75;232
486,5;233
559,5;234
647,75;235
734,5;236
805,5;237
867;238
942,25;239
967,25;240
996,5;241
994,5;242
1.007,25;243
989,25;244
973;245
918,5;246
852;247
770,25;248
683;249
;250
495;251
390;252
290,25;253
194,5;254
115,5;255
50,5;256
16;257
2,5;258
0,5;259
0;260
0;261
0;262
0;263
0;264
0;265
0;266
;267
0;268
0;269
0;270
0;271
0;272
0;273
0;274
0;275
0;276
0;277
0;278
